"統計年月","縣市","行政區域","售電量度數"
"201603","台北市","大安區義村里",1508608
"201603","台北市","大安區永康里",1135495
"201603","台北市","大安區正聲里",1514828
"201603","台北市","大安區住安里",1464935
"201603","台北市","大同區保安里",975357
"201603","台北市","大同區朝陽里",1242201
"201603","台北市","大同區大有里",1306510
"201603","台北市","大同區光能里",961774
"201603","台北市","大同區國慶里",1135966
"201603","台北市","大同區國順里",547994
"201603","台北市","大同區建功里",1217547
"201603","台北市","大同區建明里",1448047
"201603","台北市","大同區建泰里",1270631
"201603","台北市","大同區景星里",595404
"201603","台北市","大同區老師里",1141073
"201603","台北市","大同區鄰江里",1346760
"201603","台北市","大同區隆和里",724023
"201603","台北市","大同區民權里",1666766
"201603","台北市","大同區南芳里",932769
"201603","台北市","大同區蓬萊里",1184929
"201603","台北市","大同區雙連里",2055877
"201603","台北市","大同區斯文里",1266373
"201603","台北市","大同區星明里",1590298
"201603","台北市","大同區延平里",1106212
"201603","台北市","大同區揚雅里",772822
"201603","台北市","大同區永樂里",1637391
"201603","台北市","大同區玉泉里",832954
"201603","台北市","大同區至聖里",1986350
"201603","台北市","大同區重慶里",1453321
"201603","台北市","南港區百福里",1060048
"201603","台北市","南港區成福里",1516053
"201603","台北市","南港區東明里",1272560
"201603","台北市","南港區東新里",1451666
"201603","台北市","南港區合成里",1527604
"201603","台北市","南港區鴻福里",919023
"201603","台北市","南港區九如里",1394246
"201603","台北市","南港區舊莊里",1543500
"201603","台北市","南港區聯成里",1088466
"201603","台北市","南港區南港里",2191880
"201603","台北市","南港區仁福里",1251260
"201603","台北市","南港區三重里",2088274
"201603","台北市","南港區萬福里",925279
"201603","台北市","南港區西新里",1006776
"201603","台北市","南港區新富里",743439
"201603","台北市","南港區新光里",853928
"201603","台北市","南港區玉成里",1197367
"201603","台北市","南港區中南里",612767
"201603","台北市","南港區中研里",1500985
"201603","台北市","南港區重陽里",1660470
"201603","台北市","內湖區安湖里",1348927
"201603","台北市","內湖區安泰里",1020746
"201603","台北市","內湖區寶湖里",3284674
"201603","台北市","內湖區碧山里",1461771
"201603","台北市","內湖區大湖里",1813712
"201603","台北市","內湖區東湖里",1387569
"201603","台北市","內湖區港都里",1243296
"201603","台北市","內湖區港富里",2086160
"201603","台北市","內湖區港華里",1825461
"201603","台北市","內湖區港墘里",1880081
"201603","台北市","內湖區湖濱里",2315818
"201603","台北市","內湖區湖興里",1757582
"201603","台北市","內湖區湖元里",2852945
"201603","台北市","內湖區葫洲里",1486316
"201603","台北市","內湖區金湖里",3066238
"201603","台北市","內湖區金龍里",1144777
"201603","台北市","內湖區金瑞里",1233249
"201603","台北市","內湖區康寧里",2213882
"201603","台北市","內湖區樂康里",1333957
"201603","台北市","內湖區麗山里",1487287
"201603","台北市","內湖區蘆洲里",240259
"201603","台北市","內湖區明湖里",1036244
"201603","台北市","內湖區南湖里",1026260
"201603","台北市","內湖區內溝里",942130
"201603","台北市","內湖區內湖里",1361127
"201603","台北市","內湖區清白里",2144554
"201603","台北市","內湖區瑞光里",971669
"201603","台北市","內湖區瑞陽里",1762865
"201603","台北市","內湖區石潭里",1791995
"201603","台北市","內湖區五分里",1669350
"201603","台北市","內湖區西安里",1498540
"201603","台北市","內湖區西湖里",2165294
"201603","台北市","內湖區西康里",2924374
"201603","台北市","內湖區行善里",1569403
"201603","台北市","內湖區秀湖里",1457727
